"","Site","Year","riparianForest350","riparianScrub350","natural350","riparianForest1000","riparianScrub1000","natural1000","riparianForest2500","riparianScrub2500","natural2500"
"3096","Gregory",2011,0,722.783058146278,722.783058146278,0,20770.8110398836,20770.8110398836,0,32530.4281547852,32530.4281547852
"3145","H16",2011,25.1136653300133,342.642205602255,367.755870932268,2912.04584845211,13220.7480178153,16132.7938662674,5084.71791933436,21512.9966821981,26597.7146015324
"3204","HC1",2011,0,1253.03791652117,1253.03791652117,0,6564.77263874085,6564.77263874085,0,7971.9240469131,7971.9240469131
"3234","Hrdy",2011,2.69259758446531,0,2.69259758446531,312.219164919096,0,312.219164919096,545.16531168889,0,545.16531168889
"3276","MC1",2011,68.8073058004728,0,68.8073058004728,3565.18869847434,0,3565.18869847434,5963.51313590404,0,5963.51313590404
"3280","MullerB",2011,0,2989.69387600343,2989.69387600343,0,8808.58837930482,8808.58837930482,0,10629.2635890986,10629.2635890986
"3388","Sperandio",2011,5300.70166666106,544680.692682588,549981.39434925,34140.4300250269,2123108.26327544,2157248.69330046,47995.7892858219,2889096.53957642,2937092.32886224
"3437","Spiva",2011,2494.25454856079,634065.799145224,636560.053693785,10917.0930081636,1949038.18000929,1959955.27301745,13312.9741078873,2542560.58980768,2555873.56391556
"3454","Turkovich",2011,94107.8337965697,2248.6591355165,96356.4929320862,214818.787181235,24022.2587607693,238841.045942004,258851.893428296,34897.2905790423,293749.184007338
"3529","USS",2011,12024.2953511556,24695.6108920013,36719.9062431569,60328.781771835,171242.903456724,231571.685228559,76314.8523056175,233093.816733403,309408.66903902
"3549","Hatanaka",2009,0,0,0,0,0,0,0,0,0
"3550","Fong",2009,1446.00757597521,115.455151121439,1561.46272709665,15657.4284546763,2943.16483642428,18600.5932911006,22280.4382720728,4970.13350214346,27250.5717742162
"3556","Harlan",2009,0,0,0,0,0,0,0,0,0
"3561","Rominger",2009,0,0,0,0,0,0,0,0,0
"3579","Joe",2009,0,0,0,0,0,0,0,0,0
"3594","Tractor",2009,1349.86806253649,16453.3348974535,17803.20295999,7440.55520134593,35793.0848711111,43233.640072457,10984.4251544543,43753.571341817,54737.9964962713
"3601","Barn",2009,98627.138752158,3903.76674188554,102530.905494044,164918.95035189,16509.0557237688,181428.006075658,186566.292559421,23265.4095472706,209831.702106692
"3609","CircleG",2009,0,0,0,0,0,0,0,0,0
"3801","Rominger",2010,0,1948.10494979936,1948.10494979936,0,5250.20587717979,5250.20587717979,0,5901.99574231793,5901.99574231793
"3807","Joe",2010,1286.20071829139,19885.7541545416,21171.9548728329,10800.0123670599,121269.42008674,132069.432453799,14781.7518116619,165299.582577019,180081.334388681
"3811","Barn",2010,20910.6034717453,451195.678644774,472106.282116519,61040.5390345212,1910237.04009466,1971277.57912918,78225.1829621888,2544111.49644478,2622336.67940697
"3812","Zamora",2010,282.182629928042,11813.8318681309,12096.014498059,32720.3833127938,49029.8670520557,81750.2503648495,57133.001338728,59353.5675367146,116486.568875443
"3813","MullerM",2010,6880.06006137181,0,6880.06006137181,49981.8956390478,0,49981.8956390478,70190.6226205979,0,70190.6226205979
"3832","Fong",2010,1631.32990498478,803.784469246821,2435.1143742316,11524.6041955213,18856.28472101,30380.8889165313,16068.0284435523,29420.0697618468,45488.0982053991
"4216","Fong",2011,1631.32990498478,803.784469246821,2435.1143742316,11524.6041955213,18856.28472101,30380.8889165313,16068.0284435523,29420.0697618468,45488.0982053991
"4246","Harlan",2011,31112.151854128,29503.6372433431,60615.7890974712,162169.882016685,357543.499007115,519713.3810238,237703.168266819,531385.51606294,769088.684329759
"4299","MullerM",2011,6880.06006137181,0,6880.06006137181,49981.8956390478,0,49981.8956390478,70190.6226205979,0,70190.6226205979
"4320","Rominger",2011,0,1948.10494979936,1948.10494979936,0,5250.20587717979,5250.20587717979,0,5901.99574231793,5901.99574231793
"4333","Tractor",2011,0,16943.5958204556,16943.5958204556,0,41178.6438688319,41178.6438688319,0,51804.7851885879,51804.7851885879
"4338","Hrdy",2012,2.69259758446531,0,2.69259758446531,312.219164919096,0,312.219164919096,545.16531168889,0,545.16531168889
"4371","Tractor",2012,0,16943.5958204556,16943.5958204556,0,41178.6438688319,41178.6438688319,0,51804.7851885879,51804.7851885879
"4375","Berm",2012,0,0,0,0,0,0,0,0,0
"4392","CircleG",2012,0,1224.07863110911,1224.07863110911,0,4953.19111538985,4953.19111538985,0,5934.77010634918,5934.77010634918
"4395","Rominger",2012,0,1948.10494979936,1948.10494979936,0,5250.20587717979,5250.20587717979,0,5901.99574231793,5901.99574231793
"4399","Gilmer",2012,8021.88031231399,557.826088696428,8579.70640101042,48944.4237961037,29873.3190956656,78817.7428917693,74722.2327180913,50097.9926260021,124820.225344093
"4401","Sperandio",2012,5300.70166666106,544680.692682588,549981.39434925,34140.4300250269,2123108.26327544,2157248.69330046,47995.7892858219,2889096.53957642,2937092.32886224
"4404","Harlan",2012,31112.151854128,29503.6372433431,60615.7890974712,162169.882016685,357543.499007115,519713.3810238,237703.168266819,531385.51606294,769088.684329759
"4407","DQU",2012,0,0,0,0,0,0,0,0,0
"4409","MullerB",2012,0,2989.69387600343,2989.69387600343,0,8808.58837930482,8808.58837930482,0,10629.2635890986,10629.2635890986
"4410","Best",2012,0,10.7489732093071,10.7489732093071,0,1246.39324439342,1246.39324439342,0,2176.32495988111,2176.32495988111
"4439","MC1",2012,68.8073058004728,0,68.8073058004728,3565.18869847434,0,3565.18869847434,5963.51313590404,0,5963.51313590404
"4441","Chamberlain",2012,2513.85204900835,1045.23312588439,3559.08517489274,11273.9212869741,13938.170690184,25212.0919771581,15375.2234744661,20868.8184397352,36244.0419142013
"4445","Butler",2012,0,0,0,0,0,0,0,0,0
"4449","Joe",2012,1286.20071829139,19885.7541545416,21171.9548728329,10800.0123670599,121269.42008674,132069.432453799,14781.7518116619,165299.582577019,180081.334388681
"4454","Spiva",2012,2494.25454856079,634065.799145224,636560.053693785,10917.0930081636,1949038.18000929,1959955.27301745,13312.9741078873,2542560.58980768,2555873.56391556
"4455","PutahCreek",2012,272.05249562413,8.67114493677346,280.723640560903,6350.4440506356,1005.45942946371,7355.90348009931,9594.72882172156,1755.63086717036,11350.3596888919
"4456","Barger",2012,14.2764578137721,295.112832927471,309.389290741243,1655.42142737373,1548.64649767166,3204.06792504539,2890.5283205934,1881.24463035989,4771.77295095329
"4464","Turkovich",2012,94107.8337965697,2248.6591355165,96356.4929320862,214818.787181235,24022.2587607693,238841.045942004,258851.893428296,34897.2905790423,293749.184007338
"4475","YoloAirport",2012,678.329466450663,14402.9479553436,15081.2774217943,4676.97443778286,48645.7118979275,53322.6863357104,6058.61728168989,63114.9424671493,69173.5597488392
"4479","FongWest",2012,28.8348486871372,8423.04419288217,8451.8790415693,3343.53429922364,11508.0778921591,14851.6121913827,5838.13911247594,12077.5615387482,17915.7006512241
"4520","Gregory",2012,0,722.783058146278,722.783058146278,0,20770.8110398836,20770.8110398836,0,32530.4281547852,32530.4281547852
"4522","Fong",2012,1631.32990498478,803.784469246821,2435.1143742316,11524.6041955213,18856.28472101,30380.8889165313,16068.0284435523,29420.0697618468,45488.0982053991
"4541","BC2",2012,6538.77262402204,1278.76133284971,7817.53395687175,11180.7507071426,109526.636831953,120707.387539095,12150.7416809853,188946.765394185,201097.50707517
"4546","USS",2012,12024.2953511556,24695.6108920013,36719.9062431569,60328.781771835,171242.903456724,231571.685228559,76314.8523056175,233093.816733403,309408.66903902
"4554","MullerM",2012,6880.06006137181,0,6880.06006137181,49981.8956390478,0,49981.8956390478,70190.6226205979,0,70190.6226205979
"4560","Zamora",2012,282.182629928042,11813.8318681309,12096.014498059,32720.3833127938,49029.8670520557,81750.2503648495,57133.001338728,59353.5675367146,116486.568875443
"4563","CR29",2012,0,7892.59375516003,7892.59375516003,0,83066.9057588912,83066.9057588912,0,117893.350551851,117893.350551851
"4571","Oakdale",2012,6612.77016515328,13349.0380238177,19961.808188971,11263.8028970707,206540.153506298,217803.956403368,12166.7750627219,304700.668759804,316867.443822526
"4697","RLong",2012,0,1626.55067710278,1626.55067710278,0,1908.85822836348,1908.85822836348,0,1945.25972868982,1945.25972868982
"4708","H16",2012,25.1136653300133,342.642205602255,367.755870932268,2912.04584845211,13220.7480178153,16132.7938662674,5084.71791933436,21512.9966821981,26597.7146015324
"4807","Hatanaka",2012,46155.4534625414,26045.2825009003,72200.7359634417,276015.776379546,289685.021944712,565700.798324258,414692.42641194,461982.049868091,876674.476280032
"4841","Barn",2012,20910.6034717453,451195.678644774,472106.282116519,61040.5390345212,1910237.04009466,1971277.57912918,78225.1829621888,2544111.49644478,2622336.67940697
"4861","CR101",2012,42.0461852483887,11524.634610222,11566.6807954704,4875.44998258341,149000.206709804,153875.656692387,8513.01427978458,211662.645472998,220175.659752783
"5525","CR101Control",2012,1776.3797386505,10312.9534610003,12089.3331996508,2495.14149376201,39301.8618499768,41797.0033437388,2596.56214594567,54215.1575331967,56811.7196791423
"7095","YoloAirport",2013,678.329466450663,14402.9479553436,15081.2774217943,4676.97443778286,48645.7118979275,53322.6863357104,6058.61728168989,63114.9424671493,69173.5597488392
"7097","Barn",2013,20910.6034717453,451195.678644774,472106.282116519,61040.5390345212,1910237.04009466,1971277.57912918,78225.1829621888,2544111.49644478,2622336.67940697
"7103","Spiva",2013,2494.25454856079,634065.799145224,636560.053693785,10917.0930081636,1949038.18000929,1959955.27301745,13312.9741078873,2542560.58980768,2555873.56391556
"7108","MullerB",2013,0,2989.69387600343,2989.69387600343,0,8808.58837930482,8808.58837930482,0,10629.2635890986,10629.2635890986
"7115","Gregory",2013,0,722.783058146278,722.783058146278,0,20770.8110398836,20770.8110398836,0,32530.4281547852,32530.4281547852
"7136","Turkovich",2013,94107.8337965697,2248.6591355165,96356.4929320862,214818.787181235,24022.2587607693,238841.045942004,258851.893428296,34897.2905790423,293749.184007338
"7178","CR101Control",2013,1776.3797386505,10312.9534610003,12089.3331996508,2495.14149376201,39301.8618499768,41797.0033437388,2596.56214594567,54215.1575331967,56811.7196791423
"7219","Sperandio",2013,5300.70166666106,544680.692682588,549981.39434925,34140.4300250269,2123108.26327544,2157248.69330046,47995.7892858219,2889096.53957642,2937092.32886224
"7220","Fong",2013,1631.32990498478,803.784469246821,2435.1143742316,11524.6041955213,18856.28472101,30380.8889165313,16068.0284435523,29420.0697618468,45488.0982053991
"7221","Barger",2013,14.2764578137721,295.112832927471,309.389290741243,1655.42142737373,1548.64649767166,3204.06792504539,2890.5283205934,1881.24463035989,4771.77295095329
"7223","Gilmer",2013,8021.88031231399,557.826088696428,8579.70640101042,48944.4237961037,29873.3190956656,78817.7428917693,74722.2327180913,50097.9926260021,124820.225344093
"7225","Hrdy",2013,2.69259758446531,0,2.69259758446531,312.219164919096,0,312.219164919096,545.16531168889,0,545.16531168889
"7237","Joe",2013,1286.20071829139,19885.7541545416,21171.9548728329,10800.0123670599,121269.42008674,132069.432453799,14781.7518116619,165299.582577019,180081.334388681
"7240","Tractor",2013,0,16943.5958204556,16943.5958204556,0,41178.6438688319,41178.6438688319,0,51804.7851885879,51804.7851885879
"7243","RLong",2013,0,1626.55067710278,1626.55067710278,0,1908.85822836348,1908.85822836348,0,1945.25972868982,1945.25972868982
"7250","Oakdale",2013,6612.77016515328,13349.0380238177,19961.808188971,11263.8028970707,206540.153506298,217803.956403368,12166.7750627219,304700.668759804,316867.443822526
"7258","Berm",2013,0,0,0,0,0,0,0,0,0
"7262","FongWest",2013,28.8348486871372,8423.04419288217,8451.8790415693,3343.53429922364,11508.0778921591,14851.6121913827,5838.13911247594,12077.5615387482,17915.7006512241
"7281","Rominger",2013,0,1948.10494979936,1948.10494979936,0,5250.20587717979,5250.20587717979,0,5901.99574231793,5901.99574231793
"7282","CR101",2013,42.0461852483887,11524.634610222,11566.6807954704,4875.44998258341,149000.206709804,153875.656692387,8513.01427978458,211662.645472998,220175.659752783
"7283","USS",2013,12024.2953511556,24695.6108920013,36719.9062431569,60328.781771835,171242.903456724,231571.685228559,76314.8523056175,233093.816733403,309408.66903902
"7347","DQU",2013,0,0,0,0,0,0,0,0,0
"7348","PutahCreek",2013,272.05249562413,8.67114493677346,280.723640560903,6350.4440506356,1005.45942946371,7355.90348009931,9594.72882172156,1755.63086717036,11350.3596888919
"7416","Johnston",2013,0,97.0272171691413,97.0272171691413,0,9364.5387433929,9364.5387433929,0,16239.5746191325,16239.5746191325
"7478","Loop",2013,0,6807.61419968432,6807.61419968432,0,189491.721899099,189491.721899099,0,316910.021279131,316910.021279131
"7492","Best",2013,0,10.7489732093071,10.7489732093071,0,1246.39324439342,1246.39324439342,0,2176.32495988111,2176.32495988111
"7538","BC2",2013,6538.77262402204,1278.76133284971,7817.53395687175,11180.7507071426,109526.636831953,120707.387539095,12150.7416809853,188946.765394185,201097.50707517
